name,rating,review_text,review_rating
Baldi Hot Springs Hotel Resort & Spa,4.5,"We just did the hot springs and slides for the day. The water slides are crazy awesome, even the kids toilet bowl slide was more extreme than we get in the States. Laying in the top hot spring during a downpour was amazing.",5.0
Baldi Hot Springs Hotel Resort & Spa,4.5,"I read a lot of negative reviews a few days before we arrived, and I was outside the cancelation window, so we had to make the best of it.
This place is amazing! We stayed 3 nights 6/1-6/4. The resort is very well maintained and clean. The check in process was very easy. They accepted.credit card (did not require bank transfer) and allowed us to call our credit card and authorize international charges. They were patient and accommodating.  Everyone we met was friendly and helpful. The rooms are huge and nice! They had robes, shaving kit, dental kit, sewing kit, lotion, shampoo, and conditioner. The room had coffee! Great patio area! We booked 2 and had connecting rooms.
The hot springs were not busy or over crowded. It rained every day, sometimes showers or torrential downpour. The breakfast was okay, not a huge selection but enough to satisfy everyone in our party. We got a couple burgers one night ($14.50 each) they were decent. The last night we got some dishes to take back to the room. (Fettuccine alfredo, nachos, Mediterranean salad). The salad with grilled chicken, candied nuts, fresh vegetables was delicious. My 7 year old barely let me get a bite.
There is a small market if you walk outside to the right, you can grab alcohol, snacks, candy etc. Soda Typical is also there we got chicken quesadillas ($8) and an amazing hamburger for $9.
Check out was simple, we called and asked to send the cart at 10:30 as we had transportation picking us up at 11. The front desk was friendly and told us to wait a few minutes while they checked the room. (We travel often and this is normal so we were prepared, I read they care about towels, robes, and umbrellas, so I had everything laying out in piles). It took 5 minutes max! They cut off the bands printed our bill and there were not any extra or hidden charges.
They do sell alcohol and it ranges from $11-20 a drink. You can put it on a card or pay cash. Expect normal American prices at the resort. The workers glady accept tips but the new credit card software does not allow you to tip (just as an fyi). The slides-watch people go down them and ask about their experience before allowing your children or self to try. There were 2 that I Did not allow my 7 year old on (the blue and yellow one near kids area and the middle one (serpentine) with the group of slides. All others they loved.
Overall amazing experience.",5.0
Baldi Hot Springs Hotel Resort & Spa,4.5,This resort was amazing. We had two different rooms in different buildings. To check in was very easy. The hot springs were incredible and so many to try. The grounds were beyond lush. Great location near town. Very helpful and friendly staff. Luxury linens in the rooms including pooll towels. The breakfast buffet was included with our room and was delicious every morning. Great experience.,5.0
Baldi Hot Springs Hotel Resort & Spa,4.5,"Price is the major factor,  One drink here is 20-25 USD! !  Let alone 50 a person to enter.
Pros. Probably the best water slides out of all (27mph)! Great variety, hot to warm with a couple cool pools. A fun younger child section. Great vibe & natural feel for Great photos. Lockers cost you but not really needed if you carry a water bag around and move it along as you go. can rent towels for a returned deposit.  More a fashion statement place.",3.0
Baldi Hot Springs Hotel Resort & Spa,4.5,Great place.. it's wonderful,5.0
Baldi Hot Springs Hotel Resort & Spa,4.5,"Don’t you dare go to this rip off facility. I’m a lawyer, and the fact that they have not shut down the middle slide or modified it after the years of massive amounts of serious injuries is deplorable.
They’ve been on notice for many years about the amount of serious injuries that have occurred, and they have done nothing. It’s a disgrace.
They should literally be arrested: as they make a massive amount of money, are on formal notice of a serious defect at their property, and do nothing.
Do not support this business at all.
They are despicable.
And also, it’s always crowded as hell and the place is generally not worth it at all.",1.0
Baldi Hot Springs Hotel Resort & Spa,4.5,,5.0
Baldi Hot Springs Hotel Resort & Spa,4.5,"This is a resort with theme park level hot springs. Great if you want to pay for drinks, try lots of pools, and ride slides. If you have kids this is probably fantastic! Anyone Looking for a more genuine natural hot springs experience will be disappointed and frustrated with pricing.",3.0
Baldi Hot Springs Hotel Resort & Spa,4.5,,5.0
Baldi Hot Springs Hotel Resort & Spa,4.5,,4.0
